Item Code,Item
2731,Bovine Meat
2732,Mutton & Goat Meat
2733,Pigmeat
2734,Poultry Meat
2735,"Meat, Other"
2736,"Offals, Edible"
2740,"Butter, Ghee"
2743,Cream
2737,"Fats, Animals, Raw"
2781,"Fish, Body Oil"
2782,"Fish, Liver Oil"
2744,Eggs
2848,Milk - Excluding Butter
2761,Freshwater Fish
2762,Demersal Fish
2763,Pelagic Fish
2764,"Marine Fish, Other"
2765,Crustaceans
2766,Cephalopods
2767,"Molluscs, Other"
2769,"Aquatic Animals, Others"
2768,"Meat, Aquatic Mammals"
2775,Aquatic Plants
