id,scenathon_id,pathway,country_id,alpha3,iteration,TradeAdjusment,submission_id,Year,GDP,Population,kcal_hist,kcal_targ,kcal_feas,fat_feas,prot_feas,kcal_mder,LNPPMatureForest,LNPPMatureOtherLand,PATarget,AgroecoSh,ProtectedAreasForest,ProtectedAreasOtherNat,ProtectedAreasOther,OECMAreas,CalcBioScore,HistCropland,HistHarvArea,HistPasture,HistUrban,HistForest,HistOtherLand,CalcCropland,CalcPasture,CalcForest,CalcNewForest,CalcOtherLand,NewOtherLand,CalcUrban,TotalLand,ForestChange,NewForestChange,NetForestChange,HistCropAllCO2e,HistCropCO2,HistCropN2O,HistCropCH4,CalcCropAllCO2e,CalcCropN2O,CalcCropCH4_CH4,CalcCropCH4,CalcCropCO2,HistLiveAllCO2e,HistLiveN2O,HistLiveCH4,CalcLiveAllCO2e,CalcLiveCH4_CH4,CalcLiveCH4,CalcLiveN2O,CalcAllAgriCO2e,CalcDeforCO2,CalcOtherLUCCO2,CalcSequestCO2,CalcPeatCO2,CalcAllLandCO2e,GHGbiofuels,HistWFblue,CalcWFblue,CalcSequestAband,CalcSequestAffor,CalcFarmLabourFTE,CalcN_org,CalcN_synth,HistN_org,HistN_synth,TotalP,HistP
9840,16,CurrentTrend,58,GRC,2,No,275,2000,201.451,11.038109,2863.180354,2863.180354,2846.199604,121.4958599,100.0601956,2120.969558,2663.506,1332.094,NULL,0.382462354,1513.054,703.103,1705.478,0,65.74726701,3854,2968.503,4675,0,3600.2296,760.7704,3854,4584.605032,3600.2296,0,738.6492115,0,112.5161561,12890,0,0,0,5.73352,2.8581264,2.5766832,0.2987104,4.156175579,1.873732495,0.01070506,0.291177621,1.991265464,6.42428982,1.6598127,4.76447712,4.010788193,0.113297081,3.081680609,0.929107584,8.166963772,0,0,0,NULL,0,0,0,0,0,0,166.1839258,46.47967179,201.2107373,66.71374531,285,41.14573995,113
9841,16,CurrentTrend,58,GRC,2,No,275,2005,243.759,11.113448,2836.327532,2836.327532,2808.790281,125.101387,94.31782125,2115.19778,2663.506,1332.094,NULL,0.381617196,1513.054,703.103,1705.478,0,65.74726701,3775,2861.073,4230,0,3751.0163,1133.9837,3762.276696,4170.537437,3600.2296,175,722.5002608,328.7637019,130.6923042,12890,0,175,175,5.41843754,2.8653939,2.232867,0.32017664,3.980599378,1.658576318,0.011607917,0.315735351,2.00628771,6.280764,1.6294824,4.6512816,3.999242289,0.113103711,3.07642095,0.922821339,7.979841667,0,0.030183428,-0.60173625,NULL,-0.571552822,0,0,0,-0.324968517,-0.276767734,156.0540874,45.86903549,164.7674932,65.30682897,224,32.40577193,87.0922
9842,16,CurrentTrend,58,GRC,2,No,275,2010,239.78,11.033783,2554.453079,2554.453079,2524.832199,113.6988258,88.74763086,2101.877179,2663.506,1332.094,NULL,0.408934088,1513.054,703.103,1705.478,0,65.74726701,3704,2649.037,3785,0,3901.803,1499.197,3689.221341,3722.832121,3600.2296,302,709.9885687,713.9236957,151.8046737,12890,0,127,127,4.33816738,1.8679599,2.046135,0.42407248,3.360681617,1.487125148,0.015491916,0.421380104,1.452176366,6.27666888,1.6149588,4.66171008,4.019751356,0.114062149,3.102490443,0.917260912,7.380432973,0,0.035059336,-1.183304329,NULL,-1.148244993,0,5440.9984,0,-0.705682297,-0.477622032,152.7923533,49.78228909,137.775999,63.80815277,213,26.18072881,68.92431
9843,16,CurrentTrend,58,GRC,2,No,275,2015,195.684,10.806641,2536.041327,2536.041327,2506.882421,110.7092347,82.9234085,2095.430005,2661.661,1337.306,NULL,0.442343744,1705.531,822.862,1912.281,0,65.74726701,3282,2522.584,2917,0,3901.803,2783.197,3264.833959,2874.857683,3600.2296,302,822.862,1848.889168,176.3275895,12890,0,0,0,2.14705188,0.1960268,1.5479646,0.40306048,1.69080673,1.139374761,0.014775545,0.40189483,0.149537139,5.59805976,1.4459172,4.15214256,3.803616264,0.108632332,2.954799418,0.848816846,5.494422995,0,0.040722911,-2.419162402,NULL,-2.378439491,0,5440.9984,0,-1.94154037,-0.477622032,144.7968963,45.97242036,109.3554364,60.03045599,164.463,21.79665152,50.483
9844,16,CurrentTrend,58,GRC,2,No,275,2020,185.552,10.512232,2479.290951,2479.290951,2436.374756,113.5536039,78.19423481,2093.775957,2695.152,1322.873,NULL,0.376928366,1733.082,812.475,1893.326,0,65.74726701,3220.1601,2040.56,2647.0279,0,3901.8,3113.7721,3200.221013,2606.119926,3600.229587,302,820.0135718,2156.603902,204.812,12890,-1.29E-05,0,-1.29E-05,2.41080442,0.2273216,1.6819257,0.50155712,1.726922264,1.051013668,0.018382993,0.500017422,0.175891174,5.05560134,1.3143039,3.74129744,3.325291363,0.096120988,2.614490863,0.710800499,5.052213626,2.04E-07,0.047301333,-2.723324936,NULL,-2.676023399,0,5440.9984,0,-2.245702904,-0.477622032,130.6870152,44.16854532,107.0529636,56.77860726,202.945,22.85254965,64.87911
9845,16,CurrentTrend,58,GRC,2,No,275,2025,213.4687798,10.225502,0,2479.290951,2426.887578,112.9112042,78.02390449,2096.245865,2695.150769,433.2976945,NULL,0.393204386,1733.082,812.475,1893.326,0,65.75038412,0,0,0,0,0,0,3404.504559,2187.02215,3600.227532,302,812.475,2348.288384,235.482375,12890,-0.002054937,0,-0.002054937,0,0,0,0,1.841788,1.177799431,0.017108084,0.465339885,0.198648683,0,0,0,3.000373356,0.086205545,2.344790823,0.655582533,4.842161356,3.09E-05,0.616953111,-2.908376718,NULL,-2.291392722,0,0,0,-2.430754687,-0.477622032,133.202611,49.91456455,117.2520221,0,0,23.17324499,0
9846,16,CurrentTrend,58,GRC,2,No,275,2030,245.9500334,9.926881,0,2479.290951,2426.925087,112.9046128,78.01465889,2094.762897,2695.150769,433.2976945,NULL,0.398190085,1733.082,812.475,1893.326,0,65.75370389,0,0,0,0,0,0,3439.269031,1956.175098,3600.227532,302,812.475,2513.700589,266.15275,12890,0,0,0,2.28300592,0,1.9562088,0.32679712,1.895679503,1.195931368,0.018280391,0.497226634,0.2025215,5.88028074,1.3632801,4.51700064,2.899521063,0.0833247,2.266431827,0.633089236,4.795200566,0,0.184334419,-3.074911069,NULL,-2.89057665,0,0,0,-2.597289037,-0.477622032,133.2329521,50.87082599,120.4877652,0,0,24.15607674,0
9847,16,CurrentTrend,58,GRC,2,No,275,2035,279.9071139,9.606587,0,2479.290951,2426.918806,112.8939789,78.00093564,2088.748742,2695.150769,433.2976945,NULL,0.403648469,1733.082,812.475,1893.326,0,65.75725656,0,0,0,0,0,0,3478.683999,1741.660549,3600.227532,302,812.475,2658.129796,296.823125,12890,0,0,0,0,0,0,0,1.958471223,1.21691271,0.019656107,0.534646123,0.20691239,0,0,0,2.789659437,0.080190857,2.181191299,0.608468138,4.748130661,0,0.195366768,-3.220704645,NULL,-3.025337877,0,0,0,-2.743082613,-0.477622032,133.4062941,51.95596462,124.1426259,0,0,25.24552649,0
9848,16,CurrentTrend,58,GRC,2,No,275,2040,313.2571422,9.267685,0,2479.290951,2426.881427,112.8799974,77.98313236,2081.524358,2695.150769,433.2976945,NULL,0.409718842,1733.082,812.475,1893.326,0,65.76108485,0,0,0,0,0,0,3524.567475,1543.75201,3600.227532,302,812.475,2779.484482,327.4934999,12890,0,0,0,0,0,0,0,2.033402596,1.241980122,0.021301419,0.579398593,0.212023881,0,0,0,2.672373295,0.076847698,2.090257377,0.582115918,4.705775891,0,0.210711977,-3.343690069,NULL,-3.132978092,0,0,0,-2.866068037,-0.477622032,133.8441784,53.22059822,128.36717,0,0,26.47062672,0
9849,16,CurrentTrend,58,GRC,2,No,275,2045,344.5247866,8.90032,0,2479.290951,2426.809922,112.8625675,77.96128388,2076.080535,2695.150769,433.2976945,NULL,0.416390539,1733.082,812.475,1893.326,0,65.76524398,0,0,0,0,0,0,3577.256861,1360.491503,3600.227532,302,812.475,2879.385229,358.1638749,12890,0,0,0,0,0,0,0,2.122975483,1.271356268,0.023298737,0.633725653,0.217893562,0,0,0,2.545618736,0.073234235,1.991971191,0.553647545,4.668594218,0,0.226857601,-3.445469213,NULL,-3.218611612,0,0,0,-2.967847181,-0.477622032,134.5524333,54.67406832,133.2224242,0,0,27.84531127,0
9850,16,CurrentTrend,58,GRC,2,No,275,2050,372.6923394,8.496078,0,2479.290951,2426.704358,112.8417239,77.93544655,2074.484824,2695.150769,433.2976945,NULL,0.423696364,1733.082,812.475,1893.326,0,65.76981183,0,0,0,0,0,0,3637.743919,1190.513139,3600.227532,302,812.475,2958.20616,388.8342499,12890,0,0,0,2.27094954,0,1.9461897,0.32475984,2.231455762,1.305736674,0.025775264,0.701087173,0.224631916,5.5925548,1.3041756,4.2883792,2.407883733,0.069304634,1.885086047,0.522797686,4.639339495,0,0.24541003,-3.526411882,NULL,-3.281001852,0,0,0,-3.04878985,-0.477622032,135.5893143,56.34394447,138.8280349,0,0,29.39279289,0
9917,16,CurrentTrend,7,COL,2,No,269,2000,157.011,39.215135,2425.215838,2425.215838,2423.710342,67.77203148,59.73674589,1802.355367,55325.807,1898.233,NULL,0.481767063,16901.408,822.06,1668.069,4207.78,72.02897072,4545,5951.504548,40314,0,62735.5,3355.5,4545,40325.17145,62735.5,0,3160.786993,0,183.5415541,110950,0,0,0,6.49392984,0,3.8295348,2.66439504,6.312635915,2.405613767,0.100094427,2.722568427,1.184453722,53.3885914,10.6806882,42.7079032,50.58357513,1.500426118,40.81159041,9.771984722,56.89620918,0,0,0,NULL,0,-1.87E-06,0,0,0,0,180.3311758,151.6548303,209.6794631,276.4095767,334.3,82.0822442,131.8
9918,16,CurrentTrend,7,COL,2,No,269,2005,187.774,42.22094,2398.291658,2398.291658,2391.366552,68.33764865,58.51084415,1820.222274,55325.807,1898.233,NULL,0.657156095,16901.408,822.06,1668.069,4207.78,72.02897072,3613,3905.638201,38944,0,61771.645,6621.355,4228.803876,39019.37347,62735.21474,5,3158.79114,1599.943815,202.8729658,110950,-0.285264927,5,4.714735073,6.64823534,0,4.0782651,2.56997024,10.82617383,4.961215474,0.098407519,2.67668451,3.188273852,56.0401842,11.1301554,44.9100288,53.40561472,1.582313156,43.03891785,10.36669687,64.23178669,0.023611758,0.160925579,-6.662859833,NULL,-6.478322496,-1.87E-06,0,0,-6.621474166,-0.041385667,335.0825029,346.6835517,366.4800751,302.7663192,345.41936,174.0267884,171.88038
9919,16,CurrentTrend,7,COL,2,No,269,2010,233.471,44.816108,2331.206333,2331.206333,2325.24079,66.03492211,57.11963836,1839.413263,55325.807,1898.233,NULL,0.822885263,16901.408,822.06,1668.069,4207.78,72.02897072,3353,4845.497199,39150,0,60807.79,7639.21,3348.728481,39215.85771,62572.97273,10,3157.147821,2421.05281,224.2404476,110950,-162.2420051,5,-157.2420051,7.14811868,0,4.429971,2.71814768,10.65556194,5.00008771,0.100516155,2.734039409,2.921434822,58.9535073,12.1360785,46.8174288,56.96431455,1.684842288,45.82771023,11.13660432,66.90797785,10.75711855,-0.375741342,-10.10245983,NULL,0.27891738,-0.711898648,0,0,-10.0196885,-0.082771334,440.1631902,287.4488673,489.8050938,309.6769146,404.44008,235.7046897,198.05613
9920,16,CurrentTrend,7,COL,2,No,269,2015,293.482,47.119728,2642.0725,2642.0725,2639.84945,71.61110486,66.66467837,1853.009842,55352.843,1907.946,NULL,0.876311252,17974.918,1334.432,1836.676,7373.043,72.02897072,3633.5,5209.029484,41120.4,0,60134.66,6061.44,5722.641057,41240.33084,61248.20539,20,1334.432,1136.532272,247.8584475,110950,-1324.767341,10,-1314.767341,7.14354028,0,4.2642054,2.87933488,16.82561443,7.81934064,0.119539635,3.251478063,5.754795732,47.85572598,10.2309207,37.62480528,47.06975661,1.389565141,37.79617185,9.273584764,62.73001604,96.60665739,46.70526851,-0.165542667,NULL,143.1463832,-1.165355008,2273.00196,0,0,-0.165542667,573.402113,329.249985,963.2445667,218.6089397,468.53673,472.098302,231.52222
9921,16,CurrentTrend,7,COL,2,No,269,2020,298.742,50.930662,2680.979284,2680.979284,2488.291073,74.91797392,64.87581548,1863.239186,55433.479,1935.302,NULL,0.426250455,20087.061,2078.838,2155.159,10800.903,72.02897072,4548,5152.353206,39504.278,0,59141.91,7755.812,4529.726113,39079.90338,61247.70869,30,2078.838,3709.859811,273.964,110950,-0.496695263,10,9.503304737,8.35695414,0,4.9956543,3.36129984,8.373588162,2.758911242,0.128613971,3.498300017,2.116376903,60.61493828,12.9946362,47.62030208,58.21998308,1.719644288,46.77432464,11.44565844,65.02641363,0.041112129,0.214549458,-11.16198096,NULL,-10.90631938,-1.567157608,2273.00196,0,-10.91366696,-0.248314001,167.53775,140.2098063,258.6121072,273.873936,529.90948,117.6769489,257.02816
9922,16,CurrentTrend,7,COL,2,No,269,2025,353.8330172,52.610722,0,2706.383918,2473.546075,74.54985409,62.73955969,1864.142819,55433.10106,834.0071229,NULL,0.394637061,20087.061,2078.838,2155.159,10800.903,72.02897072,0,0,0,0,0,0,4108.388191,37819.03696,61247.18671,505,2078.838,4890.151679,301.3984547,110950,-0.521979517,475,474.4780205,0,0,0,0,6.967376513,2.53548208,0.098443641,2.677667045,1.754227388,0,0,0,58.58437507,1.733083242,47.13986419,11.44451088,63.85525828,0.043204941,0.22547109,-20.12434127,NULL,-19.85566524,-1.696493308,0,0,-15.94438892,-4.179952349,155.0915619,128.9633102,243.2463961,0,0,112.0099614,0
